,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
17/01/2021 01:42:15,150988,120000,120000,1,,,,
17/01/2021 09:42:10,150988,120000,120000,1,,,,
17/01/2021 11:26:34,150988,120000,120000,1,,,,
17/01/2021 13:04:26,150988,120000,120000,1,,,,
17/01/2021 14:43:44,150988,120000,120000,1,,,,
18/01/2021 14:34:37,150988,120000,120000,1,,,,
18/01/2021 17:05:22,150988,120000,120000,1,,,,
