,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 03:05:03,10210,2999,7000,4,5199,5400,4428133,2104
11/01/2021 15:34:28,10210,2999,7000,4,5199,5400,4428133,2104
11/01/2021 18:34:36,10210,2999,7000,4,5199,5400,4428133,2104
