,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:50:47,10912,2000,2000,90000,-
11/01/2021 16:18:48,10912,2000,2000,90000,-
11/01/2021 19:19:15,10912,2000,2000,90000,-
