,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:15:20,17,,,0,,,,
11/01/2021 13:48:37,17,,,0,,,,
11/01/2021 16:47:55,17,,,0,,,,
17/01/2021 01:06:08,17,,,0,,,,
17/01/2021 05:07:43,17,,,0,,,,
17/01/2021 08:53:21,17,,,0,,,,
17/01/2021 10:38:43,17,,,0,,,,
17/01/2021 12:15:28,17,,,0,,,,
17/01/2021 13:56:30,17,,,0,,,,
17/01/2021 15:24:41,17,,,0,,,,
17/01/2021 17:10:54,17,,,0,,,,
17/01/2021 17:42:48,17,,,0,,,,
