,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 03:35:34,75112,100000,100000,1,,,,
11/01/2021 16:04:22,75112,100000,100000,1,,,,
11/01/2021 19:04:53,75112,100000,100000,1,,,,
