,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:59:36,12517,3000,115000,86,14006,4900,683298759,26139
11/01/2021 14:31:47,12310,3000,124999,83,14681,4999,751946960,27421
11/01/2021 17:31:27,12202,3000,124999,83,15888,4999,848762105,29133
